rank,tool2,known,Bray-Curtis distance,Completeness,F1 score,False negatives,False positives,Jaccard index,L1 norm error,Purity,Shannon diversity,Shannon equitability,Sum of abundances,Taxon counts,True positives,Unweighted UniFrac (CAMI),Unweighted UniFrac error,Weighted UniFrac (CAMI),Weighted UniFrac error
species,Kraken2,40,0.367064015590477,0.989718208226703,0.0740876406107403,3,7324.2,0.0385190765559985,0.573381817018802,0.0385348812053885,5.94016817853009,0.665080155769342,0.961026000000019,7612.8,288.6,,,,
species,Kraken2,50,0.400611613653861,0.981788866269575,0.0572287040363284,4.4,8134.4,0.0294791391098135,0.591501609608223,0.0294952907321357,5.87533995160577,0.650867303405313,0.953656000000058,8378.8,244.4,,,,
species,Kraken2,60,0.429926678427867,0.981671122929295,0.0439651167333664,3.8,9203,0.0224916695106718,0.612335798621877,0.0225011601431607,5.87594256829839,0.643140715192961,0.952010000000067,9408.6,205.6,,,,
species,Kraken2,70,0.552211867758339,0.980585726100432,0.0256759597176699,3.2,12304,0.0130062082637407,0.704335964071358,0.0130093656182448,6.44431633215443,0.683752869573184,0.95344800000009,12465.8,161.8,,,,
species,Kraken2,80,0.638691092992944,0.981754197887136,0.0153895262300123,2.4,16027.4,0.0077561684713431,0.770095981303516,0.00775735204350964,6.90284119007894,0.712700122493596,0.955894000000121,16151.8,124.4,,,,
species,Kraken2,90,0.730816938766394,0.974190741280416,0.00897429213561025,2.2,18625.8,0.00450768929357562,0.818979131499544,0.00450826243237844,7.01644786635801,0.713495869559621,0.95887600000014,18709.6,83.8,,,,
species,Kraken2,100,0.827594078832386,0.95242229008911,0.00436980336819664,2.2,19358.8,0.00218976719572498,0.875935071911973,0.00219004403236239,7.29391066931312,0.738910014110769,0.957314000000166,19400.8,42,,,,
species,sourmash,0,0.284354065883154,0.635304838565616,0.765136614343549,166.8,8.6,0.623146085314536,0.551367945279225,0.97001121745065,4.68827954937088,0.828082979118228,0.939751982539476,288,279.4,,,,
species,sourmash,10,0.311366883320247,0.644199315246142,0.771212412191773,147.6,9.2,0.629792527949199,0.573158999200318,0.965460365561378,4.56422156731594,0.816897381514775,0.938792650131799,267.8,258.6,,,,
species,sourmash,20,0.343492017614175,0.632847910930479,0.757873091507473,139.4,12,0.612736728127539,0.597398137206615,0.950506993006993,4.56645703953184,0.831884299209638,0.928806081122275,242.8,230.8,,,,
species,sourmash,30,0.318504693911466,0.664158066101474,0.778025751207195,111.8,13.4,0.637087937675002,0.532083497876526,0.941020865691922,4.53694041389769,0.834531004425851,0.935762613659061,230.4,217,,,,
species,sourmash,40,0.383100579558833,0.646591033967301,0.763051321803566,104.8,13.2,0.617530710228953,0.580075583034311,0.93390287132203,4.40725510194782,0.832290294997342,0.916111120259492,200,186.8,,,,
species,sourmash,50,0.412262722862588,0.63745345848107,0.752341708546958,92.2,12.6,0.604038456114679,0.585853328414138,0.924716933675766,3.97979250802846,0.775777069971894,0.90115614313648,169.2,156.6,,,,
species,sourmash,60,0.431085627862659,0.656666817802236,0.757921934283953,73.4,14.4,0.6114734542768,0.591581309771625,0.904139223979431,4.04541670883965,0.807265340735025,0.904025485511102,150.4,136,,,,
species,sourmash,70,0.559505962363834,0.658851311204252,0.746661876359284,57.2,16.6,0.597198396584967,0.676171156588757,0.86459220439125,3.8209465893784,0.792129253515435,0.887880321615583,124.4,107.8,,,,
species,sourmash,80,0.628409808243563,0.652061504401115,0.711374847135892,44.4,21.6,0.555728379672684,0.68331354916914,0.786113559648181,3.7012292277674,0.797329615930455,0.838748698646197,104,82.4,,,,
species,sourmash,90,0.717721934406495,0.673093557009154,0.708810035701298,28.4,19,0.549373133467526,0.690356432012889,0.754060982495765,3.27472872103189,0.755385608812199,0.802378295653463,76.6,57.6,,,,
species,sourmash,100,0.792287471596357,0.702653834890374,0.622336460179157,13.4,24.2,0.452474179805158,0.677859384678909,0.562079329527624,2.81652709685033,0.702546178310206,0.755957489977323,55,30.8,,,,
species,Metabuli,0,0.621053486817276,0.44358242440007,0.0544071001021794,247.8,6636.8,0.0279874287368954,1.14645088571482,0.0290248959242943,5.31069164147558,0.601447128559942,0.845992762296956,6835.2,198.4,,,,
species,Metabuli,10,0.588848261740505,0.467644150662988,0.0522893890821714,216.6,6647.4,0.0268602623731154,1.03772343633364,0.0277309041522474,5.17712819118984,0.586304480517457,0.859834016162125,6837,189.6,,,,
species,Metabuli,20,0.654328415161562,0.448085426724516,0.0461034418994316,203.8,6671,0.0236147203731776,1.07570184995402,0.0243357740772837,5.39274523126485,0.610717462821753,0.833182109647653,6837.4,166.4,,,,
