tool	community	skew	rank	Bray-Curtis distance	Completeness	F1 score	False negatives	False positives	Jaccard index	L1 norm error	Purity	Shannon diversity	Shannon equitability	Sum of abundances	Taxon counts	True positives
SingleM dev	sample5	low_skew	class	0.0947648066369155	0.666666666666667	0.8	3	0	0.666666666666667	0.173123589765422	1	0.739296208054998	0.412609069884536	0.826876410234578	6	6
SingleM inject	sample0	high_skew	class	0.0205043165040071	1	1	0	0	1	0.0407999451536872	1	2.03524179055198	0.718351053520803	0.989822247706422	17	17
SingleM inject	sample0	low_skew	class	0.0297482575716172	0.952380952380952	0.975609756097561	1	0	0.952380952380952	0.0584138750467561	1	2.0706585166305	0.691202793690897	0.96360660472729	20	20
SingleM inject	sample4	high_skew	class	0.0428430682617875	1	1	0	0	1	0.0852780501470794	1	1.98295144689407	0.902480095729713	0.990474856422468	9	9
SingleM inject	sample4	low_skew	class	0.0707078195167153	0.928571428571429	0.962962962962963	1	0	0.928571428571429	0.135458145568756	1	2.20224879531876	0.858593480184055	0.915744913286904	13	13
SingleM inject	sample5	high_skew	class	0.00712601619230099	1	1	0	0	1	0.0142262675306241	1	0.829004075564221	0.426023820250221	0.996384395813511	7	7
SingleM inject	sample5	low_skew	class	0.00896330434011857	1	1	0	0	1	0.0177745486874891	1	0.893903508427579	0.406833019095068	0.983035275052811	9	9
SingleM joint	sample0	high_skew	class	0.0394234622569235	0.941176470588235	0.96969696969697	1	0	0.941176470588235	0.078846924513847	1	2.03571826679243	0.734230162037128	1	16	16
SingleM joint	sample0	low_skew	class	0.0842798806185311	0.80952380952381	0.894736842105263	4	0	0.80952380952381	0.168559761237062	1	1.94702279514181	0.687213618849586	1	17	17
SingleM joint	sample4	high_skew	class	0.0489020939445388	1	1	0	0	1	0.0978041878890776	1	2.03043454632112	0.924090585579877	1	9	9
SingleM joint	sample4	low_skew	class	0.152966534316506	0.857142857142857	0.923076923076923	2	0	0.857142857142857	0.305933068633012	1	2.23962224306839	0.901290293242793	1	12	12
SingleM joint	sample5	high_skew	class	0.00847957923823405	1	1	0	0	1	0.0169591584764681	1	0.83167087014428	0.427394281564354	1	7	7
SingleM joint	sample5	low_skew	class	0.0407197049297061	0.888888888888889	0.941176470588235	1	0	0.888888888888889	0.0814394098594122	1	0.832848914077026	0.400515666049561	1	8	8
SingleM nnls	sample0	high_skew	class	0.0309071692950401	0.941176470588235	0.96969696969697	1	0	0.941176470588235	0.0618143385900802	1	2.02853457171061	0.73163919171968	1	16	16
SingleM nnls	sample0	low_skew	class	0.085266317435591	0.80952380952381	0.894736842105263	4	0	0.80952380952381	0.170532634871182	1	1.93823048759726	0.684110320058834	1	17	17
SingleM nnls	sample4	high_skew	class	0.0522605363984675	1	1	0	0	1	0.104521072796935	1	2.02734195343337	0.922683085900666	1	9	9
SingleM nnls	sample4	low_skew	class	0.156489151873767	0.857142857142857	0.923076923076923	2	0	0.857142857142857	0.312978303747535	1	2.24938023614229	0.905217198535082	1	12	12
