tool	community	rank	metric	value	tool2
sylph	marine4	class	Bray-Curtis distance	0.0256032417089331	sylph
sylph	marine4	order	Bray-Curtis distance	0.0302261866392379	sylph
sylph	marine4	family	Bray-Curtis distance	0.0310696445992848	sylph
sylph	marine4	genus	Bray-Curtis distance	0.0342893076404425	sylph
sylph	marine4	species	Bray-Curtis distance	0.0407522469088703	sylph
metaphlan42	marine4	kingdom	Bray-Curtis distance	0.00130588663442326	MetaPhlAn v4.2
metaphlan42	marine4	phylum	Bray-Curtis distance	0.0774623723120774	MetaPhlAn v4.2
metaphlan42	marine4	class	Bray-Curtis distance	0.0832632376007483	MetaPhlAn v4.2
metaphlan42	marine4	order	Bray-Curtis distance	0.0990051354332845	MetaPhlAn v4.2
metaphlan42	marine4	family	Bray-Curtis distance	0.114715357710322	MetaPhlAn v4.2
metaphlan42	marine4	genus	Bray-Curtis distance	0.17688571130551	MetaPhlAn v4.2
metaphlan42	marine4	species	Bray-Curtis distance	0.225712101733216	MetaPhlAn v4.2
singlem	marine5	kingdom	Bray-Curtis distance	0.00233517734603584	SingleM
singlem	marine5	phylum	Bray-Curtis distance	0.0192003134671685	SingleM
singlem	marine5	class	Bray-Curtis distance	0.0208747680756899	SingleM
singlem	marine5	order	Bray-Curtis distance	0.0305408035796647	SingleM
singlem	marine5	family	Bray-Curtis distance	0.0363196294230995	SingleM
singlem	marine5	genus	Bray-Curtis distance	0.0543928494207631	SingleM
singlem	marine5	species	Bray-Curtis distance	0.177081353697622	SingleM
metaphlan	marine5	kingdom	Bray-Curtis distance	0.00157653168327761	MetaPhlAn
metaphlan	marine5	phylum	Bray-Curtis distance	0.0704306862367774	MetaPhlAn
metaphlan	marine5	class	Bray-Curtis distance	0.0786236649830624	MetaPhlAn
metaphlan	marine5	order	Bray-Curtis distance	0.107278260569919	MetaPhlAn
metaphlan	marine5	family	Bray-Curtis distance	0.120244046491791	MetaPhlAn
metaphlan	marine5	genus	Bray-Curtis distance	0.13867881847317	MetaPhlAn
metaphlan	marine5	species	Bray-Curtis distance	0.246584242999944	MetaPhlAn
kraken	marine5	kingdom	Bray-Curtis distance	0.00557287237854362	Kraken2
kraken	marine5	phylum	Bray-Curtis distance	0.12620842286093	Kraken2
kraken	marine5	class	Bray-Curtis distance	0.142871727908571	Kraken2
kraken	marine5	order	Bray-Curtis distance	0.176583824114315	Kraken2
kraken	marine5	family	Bray-Curtis distance	0.1976925318585	Kraken2
kraken	marine5	genus	Bray-Curtis distance	0.215288227353893	Kraken2
kraken	marine5	species	Bray-Curtis distance	0.280508041772147	Kraken2
sourmash	marine5	kingdom	Bray-Curtis distance	0.00549038046915849	sourmash
sourmash	marine5	phylum	Bray-Curtis distance	0.120307627271688	sourmash
sourmash	marine5	class	Bray-Curtis distance	0.143528385872116	sourmash
sourmash	marine5	order	Bray-Curtis distance	0.180327891332471	sourmash
sourmash	marine5	family	Bray-Curtis distance	0.208601726445771	sourmash
sourmash	marine5	genus	Bray-Curtis distance	0.25603938488802	sourmash
sourmash	marine5	species	Bray-Curtis distance	0.321664066694157	sourmash
metabuli	marine5	kingdom	Bray-Curtis distance	0.00600168934351526	Metabuli
metabuli	marine5	phylum	Bray-Curtis distance	0.176642311714815	Metabuli
metabuli	marine5	class	Bray-Curtis distance	0.19655502839395	Metabuli
metabuli	marine5	order	Bray-Curtis distance	0.239274636068131	Metabuli
metabuli	marine5	family	Bray-Curtis distance	0.25807095755752	Metabuli
metabuli	marine5	genus	Bray-Curtis distance	0.326250319767805	Metabuli
metabuli	marine5	species	Bray-Curtis distance	0.503098753661888	Metabuli
sylph	marine5	kingdom	Bray-Curtis distance	4.80795776485754e-05	sylph
sylph	marine5	phylum	Bray-Curtis distance	0.00614843437761019	sylph
sylph	marine5	class	Bray-Curtis distance	0.00620102023565384	sylph
sylph	marine5	order	Bray-Curtis distance	0.0073651564498998	sylph
sylph	marine5	family	Bray-Curtis distance	0.00920790525628921	sylph
sylph	marine5	genus	Bray-Curtis distance	0.0125260052868151	sylph
sylph	marine5	species	Bray-Curtis distance	0.0229042460943641	sylph
metaphlan42	marine5	kingdom	Bray-Curtis distance	0.0015764384529051	MetaPhlAn v4.2
metaphlan42	marine5	phylum	Bray-Curtis distance	0.0704295848090859	MetaPhlAn v4.2
metaphlan42	marine5	class	Bray-Curtis distance	0.0786225607946678	MetaPhlAn v4.2
