tool,community,rank,metric,value,tool2
singlem_dev,marine0,class,Shannon diversity,1.43621495518457,SingleM dev
singlem_dev,marine0,class,Shannon equitability,0.738068484755997,SingleM dev
singlem_dev,marine0,order,Shannon diversity,1.46182790142509,SingleM dev
singlem_dev,marine0,order,Shannon equitability,0.702990621339697,SingleM dev
singlem_dev,marine0,family,Shannon diversity,1.50855670852503,SingleM dev
singlem_dev,marine0,family,Shannon equitability,0.686573745845276,SingleM dev
singlem_dev,marine0,genus,Shannon diversity,1.4877086577756,SingleM dev
singlem_dev,marine0,genus,Shannon equitability,0.677085389049856,SingleM dev
singlem_dev,marine0,species,Shannon diversity,1.29083251676547,SingleM dev
singlem_dev,marine0,species,Shannon equitability,0.587483195882688,SingleM dev
singlem_dev,marine0,kingdom,True positives,1,SingleM dev
singlem_dev,marine0,kingdom,False negatives,0,SingleM dev
singlem_dev,marine0,kingdom,False positives,0,SingleM dev
singlem_dev,marine0,kingdom,Completeness,1,SingleM dev
singlem_dev,marine0,kingdom,Purity,1,SingleM dev
singlem_dev,marine0,kingdom,F1 score,1,SingleM dev
singlem_dev,marine0,kingdom,Jaccard index,1,SingleM dev
singlem_dev,marine0,phylum,True positives,6,SingleM dev
singlem_dev,marine0,phylum,False negatives,0,SingleM dev
singlem_dev,marine0,phylum,False positives,0,SingleM dev
singlem_dev,marine0,phylum,Completeness,1,SingleM dev
singlem_dev,marine0,phylum,Purity,1,SingleM dev
singlem_dev,marine0,phylum,F1 score,1,SingleM dev
singlem_dev,marine0,phylum,Jaccard index,1,SingleM dev
singlem_dev,marine0,class,True positives,7,SingleM dev
singlem_dev,marine0,class,False negatives,0,SingleM dev
singlem_dev,marine0,class,False positives,0,SingleM dev
singlem_dev,marine0,class,Completeness,1,SingleM dev
singlem_dev,marine0,class,Purity,1,SingleM dev
singlem_dev,marine0,class,F1 score,1,SingleM dev
singlem_dev,marine0,class,Jaccard index,1,SingleM dev
singlem_dev,marine0,order,True positives,8,SingleM dev
singlem_dev,marine0,order,False negatives,0,SingleM dev
singlem_dev,marine0,order,False positives,0,SingleM dev
singlem_dev,marine0,order,Completeness,1,SingleM dev
singlem_dev,marine0,order,Purity,1,SingleM dev
