tool	community	known	dom	rank	Bray-Curtis distance	Completeness	F1 score	False negatives	False positives	Jaccard index	L1 norm error	Purity	Shannon diversity	Shannon equitability	Sum of abundances	Taxon counts	True positives
sylph	sample4	0	50	phylum	0.32	0.285714285714286	0.444444444444444	5	0	0.285714285714286	0.64	1	0.66657764475046	0.961668262448934	1	2	2
sylph	sample4	10	10	phylum	0.6	0.222222222222222	0.363636363636364	7	0	0.222222222222222	1.2	1	0.452078192509256	0.652210966427149	1	2	2
sylph	sample4	10	50	phylum	0.4	0.4	0.571428571428572	3	0	0.4	0.8	1	0.505227137673049	0.728888686043433	1	2	2
sylph	sample4	50	10	phylum	0.18777761266903	0.75	0.857142857142857	2	0	0.75	0.37555522533806	1	1.58194336888029	0.882899404774368	1	6	6
sylph	sample4	50	50	phylum	0.153160696485759	0.75	0.857142857142857	2	0	0.75	0.306321392971517	1	1.4315001849266	0.79893546511761	1	6	6
sylph	sample4	70	10	phylum	0.124006426667137	0.75	0.857142857142857	2	0	0.75	0.248012853334275	1	1.61891177376441	0.903531864386848	1	6	6
sylph	sample4	70	50	phylum	0.0885279415056331	1	1	0	0	1	0.177055883011266	1	1.59755606699614	0.820981414672055	1	7	7
sylph	sample4	100	10	phylum	0.00450115892371256	1	1	0	0	1	0.00900231784742511	1	1.38076213042597	0.857915747950612	1	5	5
sylph	sample4	100	50	phylum	0.00365317101507843	1	1	0	0	1	0.00730634203015685	1	1.28911857715134	0.800974406773905	1	5	5
sylph	sample5	10	10	phylum	0.748244587478057	0.333333333333333	0.5	4	0	0.333333333333333	1.49648917495611	1	0.00605287656226262	0.00873245499948931	1	2	2
sylph	sample5	10	50	phylum	0.880339379754242	0.5	0.666666666666667	2	0	0.5	1.76067875950848	1	0.443091281626179	0.639245594663224	1	2	2
sylph	sample5	50	10	phylum	0.0236093738675114	0.857142857142857	0.923076923076923	1	0	0.857142857142857	0.0472187477350229	1	0.802229043414456	0.44773255405765	1	6	6
sylph	sample5	50	50	phylum	0.258234358161859	0.666666666666667	0.8	2	0	0.666666666666667	0.516468716323718	1	0.818393321824297	0.590345993446279	1	4	4
sylph	sample5	70	10	phylum	0.922918868813797	0.666666666666667	0.8	2	0	0.666666666666667	1.84583773762759	1	1.09758992812846	0.791743773120301	1	4	4
sylph	sample5	70	50	phylum	0.00542081786582538	0.833333333333333	0.909090909090909	1	0	0.833333333333333	0.0108416357316508	1	0.653008827504467	0.405737197104337	1	5	5
sylph	sample5	100	10	phylum	0.00765898994671532	1	1	0	0	1	0.0153179798934306	1	0.784259730522514	0.565723811996873	1	4	4
sylph	sample5	100	50	phylum	0.00672137746755787	1	1	0	0	1	0.0134427549351157	1	0.701093493271933	0.435613879762286	1	5	5
SingleM	sample4	0	10	class	0.0740560150921492	0.923076923076923	0.96	1	0	0.923076923076923	0.141011329096435	1	2.03208970930333	0.817773057783356	0.904117159436309	12	12
SingleM	sample4	0	50	class	0.0413002427839223	1	1	0	0	1	0.0812309324844143	1	1.61181343643062	0.733567907921676	0.966839103329354	9	9
SingleM	sample4	10	10	class	0.0426692836113837	1	1	0	0	1	0.0833634620651876	1	2.20491928175721	0.887324794251457	0.953711311969324	12	12
SingleM	sample4	10	50	class	0.0254565187898522	1	1	0	0	1	0.0503663937726481	1	1.30706237276856	0.72948539980742	0.97852637229902	6	6
SingleM	sample4	50	10	class	0.0732509023884494	1	1	0	0	1	0.144866342648846	1	2.09490409160309	0.909805287099765	0.977673147023086	10	10
SingleM	sample4	50	50	class	0.0320606439947145	1	1	0	0	1	0.0632807137954701	1	1.52436676570452	0.73306545779262	0.973781743308167	8	8
SingleM	sample4	70	10	class	0.0384068353598423	1	1	0	0	1	0.0760489328474753	1	1.98920325652963	0.905325416913558	0.980088495575221	9	9
SingleM	sample4	70	50	class	0.0329803671415409	1	1	0	0	1	0.0654090525723925	1	1.5404979221528	0.701110818640305	0.98327242057914	9	9
SingleM	sample4	100	10	class	0.0223504273504274	1	1	0	0	1	0.0445165580529326	1	1.78256510317033	0.916057251685397	0.991754222635989	7	7
SingleM	sample4	100	50	class	0.0254158833063209	1	1	0	0	1	0.050371322112296	1	1.44620744507656	0.807143743294755	0.981883592445072	6	6
SingleM	sample5	0	10	class	0.108351803272107	0.875	0.666666666666667	1	6	0.5	0.204451262493168	0.538461538461538	0.812736848766641	0.316862727290251	0.886920718612539	13	7
SingleM	sample5	0	50	class	0.0120026913781534	1	1	0	0	1	0.0239905468512518	1	0.707778073839091	0.43976724319154	0.998763951801522	5	5
SingleM	sample5	10	10	class	0.0050577613303265	1	1	0	0	1	0.0100904895941959	1	0.73686377188711	0.378673070925108	0.995050563911161	7	7
SingleM	sample5	10	50	class	0.00507621312163977	1	1	0	0	1	0.0101340308208642	1	0.823086339345012	0.511412296793844	0.996376152463561	5	5
SingleM	sample5	50	10	class	0.00237221268819108	1	1	0	0	1	0.00473600410520236	1	0.875774921784224	0.421158712197674	0.996450035352345	8	8
SingleM	sample5	50	50	class	0.00110212501352524	1	1	0	0	1	0.00220218111751784	1	0.359746665020787	0.200778436614473	0.998122799585117	6	6
SingleM	sample5	70	10	class	0.00538870830588258	1	1	0	0	1	0.0107499295856511	1	0.909333358743472	0.437296909058037	0.994899143810768	8	8
SingleM	sample5	70	50	class	0.00230032071101283	1	1	0	0	1	0.00459677598928654	1	0.682943104023485	0.350963329090521	0.998319611382615	7	7
SingleM	sample5	100	10	class	0.00443977174452497	1	1	0	0	1	0.00887229533726306	1	0.811147575369682	0.503994325660509	0.998367449453724	5	5
SingleM	sample5	100	50	class	0.00176837478289773	1	1	0	0	1	0.00353228042972536	1	0.681376511471479	0.423363030165588	0.99747274383614	5	5
SingleM dev	sample4	0	10	class	0.43542549891428	0.538461538461538	0.7	6	0	0.538461538461538	0.606684915718196	1	0.944527848495751	0.485391295664034	0.393315084281804	7	7
SingleM dev	sample4	0	50	class	0.28264695529743	0.777777777777778	0.875	2	0	0.777777777777778	0.440724478594951	1	0.765098675126825	0.393182940896968	0.55927552140505	7	7
SingleM dev	sample4	10	10	class	0.508663502924622	0.583333333333333	0.736842105263158	5	0	0.583333333333333	0.674323335771763	1	0.866102763486434	0.445088774477539	0.325676664228237	7	7
SingleM dev	sample4	10	50	class	0.167914955303213	0.833333333333333	0.909090909090909	1	0	0.833333333333333	0.287546545304096	1	0.869863093975992	0.540476328571394	0.712453454695904	5	5
SingleM dev	sample4	50	10	class	0.364094859963515	0.7	0.823529411764706	3	0	0.7	0.533826305852737	1	1.18398851369863	0.60844973457455	0.466173694147263	7	7
SingleM dev	sample4	50	50	class	0.233754829645241	0.625	0.769230769230769	3	0	0.625	0.378932384341637	1	0.897552552867279	0.557680756699604	0.621067615658363	5	5
SingleM dev	sample4	70	10	class	0.289448378354751	0.888888888888889	0.941176470588235	1	0	0.888888888888889	0.448949152542373	1	1.32987032365592	0.639532440321265	0.551050847457627	8	8
SingleM dev	sample4	70	50	class	0.243131249436988	0.555555555555556	0.714285714285714	4	0	0.555555555555556	0.391159420289855	1	0.785982876505529	0.488358619138538	0.608840579710145	5	5
SingleM dev	sample4	100	10	class	0.23863732902897	1	1	0	0	1	0.385322359396434	1	1.32303075716125	0.679903313009362	0.614677640603567	7	7
SingleM dev	sample4	100	50	class	0.246056782334385	1	1	0	0	1	0.394936708860759	1	0.933494405919328	0.52099314776972	0.605063291139241	6	6
SingleM dev	sample5	0	10	class	0.814162988540956	0.5	0.666666666666667	4	0	0.5	0.897563221919491	1	0.340228957724002	0.245423315037619	0.10243677808051	4	4
SingleM dev	sample5	0	50	class	0.0185080483613094	0.8	0.888888888888889	1	0	0.8	0.0363434503852713	1	0.657547353667364	0.474320153142784	0.963656549614729	4	4
SingleM dev	sample5	10	10	class	0.528028250996594	0.571428571428571	0.727272727272727	3	0	0.571428571428571	0.691405313705807	1	0.636274829110515	0.458975270300106	0.309409699956124	4	4
SingleM dev	sample5	10	50	class	0.0550099290343438	0.8	0.888888888888889	1	0	0.8	0.104283244205473	1	0.712197428917972	0.513741849416915	0.895716755794527	4	4
SingleM dev	sample5	50	10	class	0.0406245854730818	0.625	0.769230769230769	3	0	0.625	0.0780773124913503	1	0.766953184807864	0.47653480689288	0.92192268750865	5	5
SingleM dev	sample5	50	50	class	0.0701822978750457	0.333333333333333	0.5	4	0	0.333333333333333	0.1311595192976	1	0.189303348978017	0.273107002794258	0.868840480702401	2	2
SingleM dev	sample5	70	10	class	0.0502160973670902	0.75	0.857142857142857	2	0	0.75	0.0968298388100568	1	0.724764167042256	0.404498583369846	0.928262925376505	6	6
SingleM dev	sample5	70	50	class	0.598927647370554	0.571428571428571	0.727272727272727	3	0	0.571428571428571	0.749161662637448	1	0.440606504629679	0.317830409606329	0.250838337362552	4	4
SingleM dev	sample5	100	10	class	0.0674238733975692	0.8	0.888888888888889	1	0	0.8	0.126330083255421	1	0.789124830166393	0.5692332395617	0.87366991674458	4	4
SingleM dev	sample5	100	50	class	0.303958323190029	0.6	0.666666666666667	2	1	0.5	0.466658776481434	0.75	0.533901438680398	0.385128478953846	0.535272242535989	4	3
SingleM joint	sample4	0	10	class	0.12903994703156	0.846153846153846	0.916666666666667	2	0	0.846153846153846	0.258079894063121	1	2.09116698503036	0.872084368634643	1	11	11
SingleM joint	sample4	0	50	class	0.0986489058039962	0.888888888888889	0.941176470588235	1	0	0.888888888888889	0.197297811607992	1	1.53367376755802	0.737541179599151	1	8	8
SingleM joint	sample4	10	10	class	0.129612347451543	0.916666666666667	0.956521739130435	1	0	0.916666666666667	0.259224694903087	1	2.130968637374	0.888682946894148	1	11	11
SingleM joint	sample4	10	50	class	0.0914285714285714	1	1	0	0	1	0.182857142857143	1	1.28472643877534	0.717019477691856	1	6	6
SingleM joint	sample4	50	10	class	0.0867802912922219	1	1	0	0	1	0.173560582584444	1	2.10665669966727	0.914909379930011	1	10	10
SingleM joint	sample4	50	50	class	0.0613616886208538	1	1	0	0	1	0.122723377241708	1	1.58644384008854	0.762918220248195	1	8	8
SingleM joint	sample4	70	10	class	0.0471279409717388	1	1	0	0	1	0.0942558819434776	1	2.03863716910827	0.927823760090918	1	9	9
SingleM joint	sample4	70	50	class	0.0253113947408889	1	1	0	0	1	0.0506227894817777	1	1.62997744257396	0.741834703373854	1	9	9
SingleM joint	sample4	100	10	class	0.0202189966895849	1	1	0	0	1	0.0404379933791699	1	1.77292837360628	0.911104952336563	1	7	7
