tool	community	rank	Bray-Curtis distance	Completeness	F1 score	False negatives	False positives	Jaccard index	L1 norm error	Purity	Shannon diversity	Shannon equitability	Sum of abundances	Taxon counts	True positives	Unweighted UniFrac (CAMI)	Unweighted UniFrac error	Weighted UniFrac (CAMI)	Weighted UniFrac error
sylph	sample5	species	0.0101744528080362	1	1	0	0	1	0.0203489056160724	1	0.940567982224509	0.378512400980839	1	12	12				
SingleM	sample4															237	0.428690386071158	0.955343692488663	0.00568343768379912
SingleM	sample5															38	0.434166787107964	0.0332140203164307	0.000220729826939201
SingleM dev	sample4															320	0.712596517789553	2.75893993750723	0.0209826987617174
SingleM dev	sample5															38	0.369562075444428	0.433193630742441	0.00271200913477857
SingleM inject	sample4															139	0.388448145344436	0.622298745897129	0.00400502684652893
SingleM inject	sample5															30	0.399624223153635	0.0343595728826271	0.00023965767245218
SingleM joint	sample4															115	0.2955639666919	0.606828162629265	0.00447966071681542
SingleM joint	sample5															59	0.629498482439659	2.35343709069982	0.0266049323202647
SingleM nnls	sample4															120	0.304784254352763	0.647328955335102	0.00483488154565074
SingleM nnls	sample5															25	0.327793033675387	6.35255490389561	0.0439104135038531
SingleM truecov	sample4															109	0.289629068887207	0.60437549721559	0.00448701155880014
SingleM truecov	sample5															34	0.466180083827143	0.442326737420804	0.00278874606627775
sylph	sample4															29	0.0738228614685844	0.0967297279276815	0.00063482555507596
sylph	sample5															1	0.0303512068217951	0.0471164808280882	0.000316019657203628
